decimaldate,date,yearday,site,satsecchi
2019.857632,11/9/19,313,5,1.362208747
2019.857632,11/9/19,313,6,1.142199114
2019.857632,11/9/19,313,7,NaN
2019.857632,11/9/19,313,8,NaN
2019.857632,11/9/19,313,9,NaN
2019.857632,11/9/19,313,10,NaN
2019.857632,11/9/19,313,11,NaN
2019.857632,11/9/19,313,12,1.5412837
2019.857632,11/9/19,313,13,1.057351647
2019.857632,11/9/19,313,14,NaN
2019.857632,11/9/19,313,15,NaN
2019.857632,11/9/19,313,16,1.009508336
2019.857632,11/9/19,313,17,1.182335621
2019.901437,11/25/19,329,1,NaN
2019.901437,11/25/19,329,2,1.563443093
2019.901437,11/25/19,329,3,NaN
2019.901437,11/25/19,329,4,NaN
2019.901437,11/25/19,329,5,1.1105351
2019.901437,11/25/19,329,6,1.04246151
2019.901437,11/25/19,329,7,NaN
2019.901437,11/25/19,329,8,NaN
2019.901437,11/25/19,329,9,NaN
2019.901437,11/25/19,329,10,NaN
2019.901437,11/25/19,329,11,NaN
2019.901437,11/25/19,329,12,1.362584196
2019.901437,11/25/19,329,13,0.912204356
2019.901437,11/25/19,329,14,NaN
2019.901437,11/25/19,329,15,NaN
2019.901437,11/25/19,329,16,1.32004483
2019.901437,11/25/19,329,17,1.083138961
2020.295688,4/17/20,108,1,NaN
2020.295688,4/17/20,108,2,NaN
2020.295688,4/17/20,108,3,NaN
2020.295688,4/17/20,108,4,NaN
2020.295688,4/17/20,108,5,2.828839199
2020.295688,4/17/20,108,6,3.277388239
2020.295688,4/17/20,108,7,NaN
2020.295688,4/17/20,108,8,NaN
2020.295688,4/17/20,108,9,NaN
2020.295688,4/17/20,108,10,NaN
2020.295688,4/17/20,108,11,NaN
2020.295688,4/17/20,108,12,NaN
2020.295688,4/17/20,108,13,0.996716271
2020.295688,4/17/20,108,14,NaN
2020.295688,4/17/20,108,15,NaN
2020.295688,4/17/20,108,16,1.25541158
2020.295688,4/17/20,108,17,2.255669933
2020.339493,5/3/20,124,1,NaN
2020.339493,5/3/20,124,2,NaN
2020.339493,5/3/20,124,3,NaN
2020.339493,5/3/20,124,4,NaN
2020.339493,5/3/20,124,5,1.818364024
2020.339493,5/3/20,124,6,1.49813418
2020.339493,5/3/20,124,7,NaN
2020.339493,5/3/20,124,8,NaN
2020.339493,5/3/20,124,9,NaN
2020.339493,5/3/20,124,10,NaN
2020.339493,5/3/20,124,11,NaN
